,player_name,player_id,pts,score
0,Kevin Durant,201142.0,26.95873573309921,0.02356317364784815
1,Russell Westbrook,201566.0,22.54382978723404,0.020432050701674965
2,LeBron James,2544.0,26.825014679976512,0.01686154342669787
3,Kyrie Irving,202681.0,22.660485021398003,0.03020547373733468
4,Collin Sexton,1629012.0,19.61572052401747,0.06460593810186688
5,Shaquille O'Neal,406.0,17.218370883882148,0.032784767923491186
6,Darius Garland,1629636.0,16.440677966101696,0.08244757253662739
7,Kobe Bryant,977.0,26.621463414634142,0.022208685306365262
8,Brandon Ingram,1627742.0,18.03316326530612,0.04310053102873803
9,Steve Nash,959.0,15.501131221719458,0.023128621445097364
10,Luka Doncic,1629029.0,26.050179211469533,0.0971981346591128
11,Dirk Nowitzki,1717.0,20.997744360902256,0.016417547628469673
12,Deron Williams,101114.0,16.08157099697885,0.017745568425098546
13,Allen Iverson,947.0,25.86334056399132,0.045548439918878594
14,Ja Morant,1629630.0,21.297560975609755,0.10155859607376562
15,Zach Randolph,2216.0,17.432599118942733,0.01667332958140076
16,Rudy Gay,200752.0,16.210069444444443,0.013600290557484566
17,Jaren Jackson Jr.,1628991.0,15.530232558139534,0.07130340724716062
18,Tyreke Evans,201936.0,15.495297805642632,0.024181660950658896
19,Zion Williamson,1629627.0,25.619565217391305,0.27693761814744805
20,Anthony Davis,203076.0,23.529496402877697,0.039979297137829314
21,Julius Randle,203944.0,17.367857142857144,0.03558992346938776
22,Eric Gordon,201569.0,16.193735498839906,0.014556338521002788
23,Peja Stojakovic,978.0,16.161347517730498,0.02562433982194055
24,Jrue Holiday,201950.0,15.85925925925926,0.018529156518574504
25,Joel Embiid,203954.0,24.9672131147541,0.07589059094030876
26,Jason Richardson,2202.0,17.31958762886598,0.02009047188861728
27,Ben Simmons,1627732.0,15.446153846153846,0.07131834319526627
28,Trae Young,1629027.0,24.68227424749164,0.07699019026632813
29,John Collins,1628381.0,16.05151515151515,0.06087235996326907
30,James Harden,201935.0,24.444543034605147,0.021783614105338914
31,Yao Ming,2397.0,19.74945533769063,0.04876092291189049
32,Kevin Martin,2755.0,17.00998751560549,0.017314499198099752
33,Joe Johnson,2207.0,16.646788990825687,0.01160583190715335
34,Dwight Howard,2730.0,15.600418410041842,0.014860753682728088
35,Damian Lillard,203081.0,24.30572472594397,0.027314362182715893
36,CJ McCollum,203468.0,19.01928783382789,0.023793905026899945
37,LaMarcus Aldridge,200746.0,18.995874587458747,0.016859730527508193
38,Brandon Roy,200750.0,18.184491978609625,0.04609082330063772
39,Stephen Curry,201939.0,24.140873015873016,0.024050650352733696
40,Klay Thompson,202691.0,19.299751243781092,0.019798396079304965
41,Monta Ellis,101145.0,17.323340471092077,0.01645199895455525
42,Donovan Mitchell,1628378.0,23.75064935064935,0.05059875189745317
43,Devin Booker,1626164.0,23.027237354085603,0.03704825205529228
44,Amar'e Stoudemire,2405.0,19.14692482915717,0.02288930630289382
45,Deandre Ayton,1629028.0,15.890151515151516,0.08620293847566578
46,Karl-Anthony Towns,1626157.0,22.57001972386588,0.054938941602573815
47,Andrew Wiggins,203952.0,18.88571428571429,0.023968253968253975
48,Derrick Rose,201565.0,18.241997439180537,0.021083315162772707
49,Jimmy Butler,202710.0,17.40099626400996,0.02424438864842147
50,Kevin Love,201567.0,17.221857923497268,0.023042790169906534
51,Kevin Garnett,708.0,16.402737047898338,0.021839815236844848
52,Carmelo Anthony,2546.0,22.248412138320397,0.013458911324281373
53,Kristaps Porzingis,204001.0,18.3314447592068,0.05506825349693843
54,RJ Barrett,1629628.0,16.99004975124378,0.07294373901636099
55,Giannis Antetokounmpo,203507.0,21.695478723404257,0.034800814848347676
56,Michael Redd,2072.0,20.571153846153845,0.030857988165680465
57,Khris Middleton,203114.0,17.096128170894527,0.02309978057080113
58,Tobias Harris,202699.0,16.244171779141105,0.021132899243479244
59,Bradley Beal,203078.0,21.677943166441136,0.02528377410866822
60,Gilbert Arenas,2240.0,21.34639175257732,0.036960357104899574
61,John Wall,202322.0,18.88294797687861,0.02931312439440008
62,Antawn Jamison,1712.0,17.13797169811321,0.019862217426130292
63,Dwyane Wade,2548.0,21.633564280215552,0.015807149574997292
64,Chris Bosh,2547.0,18.63107721639657,0.019590131233977435
65,Tyler Herro,1629639.0,16.37864077669903,0.07232067112828731
66,Jayson Tatum,1628369.0,20.561032863849764,0.04737265533734488
67,Isaiah Thomas,202738.0,17.80743243243243,0.026327953798392985
68,Ray Allen,951.0,17.321428571428573,0.01584548104956269
69,Jaylen Brown,1627759.0,15.778947368421052,0.030457617728531856
70,DeMar DeRozan,201942.0,20.282385834109974,0.016778001770128257
71,Kawhi Leonard,202695.0,19.266129032258064,0.029103798126951092
72,Tim Duncan,1495.0,17.245299145299146,0.01913653298268683
73,Pau Gasol,2200.0,16.40583136327817,0.016858952744136253
74,Paul George,202331.0,20.19707207207207,0.02244262843925006
75,Blake Griffin,201933.0,19.572274881516588,0.025348992610228882
76,Chris Paul,101108.0,17.99633162142333,0.01749194867607329
77,Baron Davis,1884.0,17.510169491525424,0.030611893134156843
78,Shai Gilgeous-Alexander,1628983.0,17.48314606741573,0.06602701679080925
79,Stephen Jackson,1536.0,16.218346253229974,0.017662199787673017
80,Danilo Gallinari,201568.0,15.319753086419754,0.018465172991921963
81,Nikola Jokic,203999.0,19.42567567567568,0.04666670471146822
82,Jamal Murray,1627750.0,16.71072319201995,0.039241049495960856
83,DeMarcus Cousins,202326.0,19.33428981348637,0.031067765315175317
84,De'Aaron Fox,1628368.0,18.59941520467836,0.051588522964330905
85,Buddy Hield,1627741.0,15.761806981519507,0.028679970822493673
86,Zach LaVine,203897.0,19.307539682539684,0.033143581506676754
87,Richard Hamilton,1888.0,17.07566204287516,0.018104505215083427
88,Carlos Boozer,2430.0,16.68266085059978,0.02195057849490242
89,Kemba Walker,202689.0,19.03030303030303,0.021302479338842974
90,Tony Parker,2225.0,16.068401486988847,0.011391219026823841
91,Tracy McGrady,1503.0,18.685314685314687,0.029955621301775145
92,Corey Maggette,1894.0,17.90066225165563,0.026555852813473085
93,Chauncey Billups,1497.0,16.45562130177515,0.020412450544448724
94,Paul Pierce,1718.0,17.85256950294861,0.014594359421676417
95,D'Angelo Russell,1626156.0,17.635555555555555,0.03479012345679012
96,Brook Lopez,201572.0,16.158002038735983,0.017636832747794227
97,Victor Oladipo,203506.0,17.166666666666668,0.03232079868984631
98,Nikola Vucevic,202696.0,16.59622641509434,0.02725366876310273
99,Danny Granger,101122.0,16.134615384615383,0.02187423409544484
