,team,adversary,home,team_wins,season,date,pts_home,pts_away,game_loc_lat,game_loc_long
18330,1610612748,1610612755,1,1,2003,2003-10-07,86.0,79.0,25.7808987709237,-80.18623948495552
18317,1610612748,1610612755,0,0,2003,2003-10-28,89.0,74.0,39.90123409349528,-75.17090665637734
18307,1610612748,1610612738,0,0,2003,2003-10-29,98.0,75.0,42.36610686544133,-71.06264504509178
18295,1610612748,1610612765,1,0,2003,2003-10-31,81.0,93.0,25.7808987709237,-80.18623948495552
18274,1610612748,1610612742,0,0,2003,2003-11-03,103.0,93.0,32.789894151360954,-96.8092592302266
18269,1610612748,1610612759,0,0,2003,2003-11-04,80.0,73.0,29.427019813868597,-98.43815188998576
18239,1610612748,1610612750,1,0,2003,2003-11-08,79.0,88.0,25.7808987709237,-80.18623948495552
18222,1610612748,1610612745,0,0,2003,2003-11-11,90.0,70.0,29.750871888172558,-95.36167139097245
18211,1610612748,1610612739,1,1,2003,2003-11-12,88.0,83.0,25.7808987709237,-80.18623948495552
18198,1610612748,1610612764,1,1,2003,2003-11-14,105.0,101.0,25.7808987709237,-80.18623948495552
18182,1610612748,1610612747,0,0,2003,2003-11-16,99.0,77.0,34.04276826661928,-118.26669624321944
18175,1610612748,1610612760,0,1,2003,2003-11-18,98.0,105.0,35.463704015112775,-97.51550008012
18164,1610612748,1610612757,0,0,2003,2003-11-19,94.0,93.0,45.53140421236139,-122.66711521703822
18149,1610612748,1610612744,0,0,2003,2003-11-21,101.0,91.0,37.76801468162943,-122.38730084231904
18142,1610612748,1610612756,0,0,2003,2003-11-22,100.0,98.0,33.44605897210844,-112.07107159689456
18122,1610612748,1610612740,1,1,2003,2003-11-25,91.0,87.0,25.7808987709237,-80.18623948495552
18100,1610612748,1610612737,0,0,2003,2003-11-28,95.0,83.0,33.75725092895011,-84.39619973311765
18092,1610612748,1610612761,1,1,2003,2003-11-29,78.0,66.0,25.7808987709237,-80.18623948495552
18066,1610612748,1610612765,0,0,2003,2003-12-03,87.0,73.0,42.34072161638615,-83.0549240159282
18050,1610612748,1610612755,1,0,2003,2003-12-05,90.0,93.0,25.7808987709237,-80.18623948495552
18043,1610612748,1610612759,1,0,2003,2003-12-06,70.0,86.0,25.7808987709237,-80.18623948495552
18028,1610612748,1610612756,1,1,2003,2003-12-09,92.0,72.0,25.7808987709237,-80.18623948495552
18005,1610612748,1610612763,1,1,2003,2003-12-12,91.0,88.0,25.7808987709237,-80.18623948495552
17990,1610612748,1610612761,0,1,2003,2003-12-14,89.0,90.0,43.643465766008646,-79.37961392206583
17978,1610612748,1610612737,1,1,2003,2003-12-16,97.0,79.0,25.7808987709237,-80.18623948495552
17973,1610612748,1610612755,0,0,2003,2003-12-17,87.0,76.0,39.90123409349528,-75.17090665637734
17960,1610612748,1610612763,0,0,2003,2003-12-19,97.0,83.0,35.13775544220234,-90.05110142629135
17937,1610612748,1610612744,1,1,2003,2003-12-21,104.0,93.0,25.7808987709237,-80.18623948495552
17924,1610612748,1610612764,1,1,2003,2003-12-23,79.0,72.0,25.7808987709237,-80.18623948495552
17906,1610612748,1610612764,0,1,2003,2003-12-26,84.0,92.0,38.8980001758342,-77.0211572478214
17900,1610612748,1610612752,1,0,2003,2003-12-27,80.0,100.0,25.7808987709237,-80.18623948495552
17886,1610612748,1610612741,0,1,2003,2003-12-29,83.0,90.0,41.881968536545465,-87.6728455633052
17877,1610612748,1610612752,0,0,2003,2003-12-30,102.0,73.0,40.75053668021922,-73.99313833210212
17862,1610612748,1610612753,1,1,2003,2004-01-02,112.0,101.0,25.7808987709237,-80.18623948495552
17836,1610612748,1610612754,1,0,2003,2004-01-05,65.0,87.0,25.7808987709237,-80.18623948495552
17821,1610612748,1610612741,1,1,2003,2004-01-07,102.0,95.0,25.7808987709237,-80.18623948495552
17813,1610612748,1610612749,0,0,2003,2004-01-09,103.0,94.0,43.045205319315365,-87.91665667747223
17800,1610612748,1610612750,0,0,2003,2004-01-10,83.0,77.0,44.979584391924476,-93.27553683777344
17785,1610612748,1610612758,0,0,2003,2004-01-13,90.0,86.0,38.58017062553036,-121.50008939400314
17770,1610612748,1610612762,0,0,2003,2004-01-15,97.0,85.0,40.76774773159542,-111.90147367756563
17758,1610612748,1610612746,0,1,2003,2004-01-16,85.0,87.0,34.04276826661928,-118.26669624321944
17746,1610612748,1610612743,0,0,2003,2004-01-18,88.0,80.0,39.74958004618605,-105.00661578713809
17729,1610612748,1610612738,1,0,2003,2004-01-20,84.0,86.0,25.7808987709237,-80.18623948495552
17708,1610612748,1610612751,1,1,2003,2004-01-23,85.0,64.0,25.7808987709237,-80.18623948495552
17698,1610612748,1610612752,0,1,2003,2004-01-24,77.0,85.0,40.75053668021922,-73.99313833210212
17685,1610612748,1610612745,1,1,2003,2004-01-26,95.0,81.0,25.7808987709237,-80.18623948495552
17669,1610612748,1610612739,0,0,2003,2004-01-28,94.0,93.0,41.49641849438575,-81.68857242321435
17656,1610612748,1610612746,1,1,2003,2004-01-30,97.0,88.0,25.7808987709237,-80.18623948495552
17651,1610612748,1610612740,0,1,2003,2004-01-31,70.0,94.0,29.950485009327856,-90.08072646871527
17634,1610612748,1610612765,1,0,2003,2004-02-02,100.0,102.0,25.7808987709237,-80.18623948495552
17624,1610612748,1610612751,0,0,2003,2004-02-04,99.0,88.0,40.682646169430356,-73.9755443855573
17597,1610612748,1610612752,1,0,2003,2004-02-07,64.0,76.0,25.7808987709237,-80.18623948495552
17586,1610612748,1610612754,0,0,2003,2004-02-08,97.0,91.0,39.76381215213423,-86.15605172410166
17575,1610612748,1610612747,1,0,2003,2004-02-10,83.0,98.0,25.7808987709237,-80.18623948495552
17570,1610612748,1610612753,0,1,2003,2004-02-11,98.0,111.0,28.539371922106323,-81.38441144428242
17554,1610612748,1610612762,1,1,2003,2004-02-17,97.0,85.0,25.7808987709237,-80.18623948495552
17533,1610612748,1610612737,1,1,2003,2004-02-20,125.0,92.0,25.7808987709237,-80.18623948495552
17521,1610612748,1610612743,1,1,2003,2004-02-21,97.0,81.0,25.7808987709237,-80.18623948495552
17509,1610612748,1610612757,1,0,2003,2004-02-23,81.0,89.0,25.7808987709237,-80.18623948495552
17474,1610612748,1610612751,0,0,2003,2004-02-28,92.0,86.0,40.682646169430356,-73.9755443855573
17465,1610612748,1610612749,0,0,2003,2004-02-29,108.0,104.0,43.045205319315365,-87.91665667747223
17450,1610612748,1610612761,1,0,2003,2004-03-02,86.0,89.0,25.7808987709237,-80.18623948495552
17435,1610612748,1610612749,1,1,2003,2004-03-04,104.0,98.0,25.7808987709237,-80.18623948495552
17422,1610612748,1610612758,1,1,2003,2004-03-06,102.0,96.0,25.7808987709237,-80.18623948495552
17399,1610612748,1610612753,1,1,2003,2004-03-09,100.0,89.0,25.7808987709237,-80.18623948495552
17391,1610612748,1610612740,0,0,2003,2004-03-10,95.0,84.0,29.950485009327856,-90.08072646871527
17377,1610612748,1610612760,1,1,2003,2004-03-12,82.0,74.0,25.7808987709237,-80.18623948495552
17362,1610612748,1610612751,1,1,2003,2004-03-14,104.0,95.0,25.7808987709237,-80.18623948495552
17351,1610612748,1610612740,1,1,2003,2004-03-16,96.0,83.0,25.7808987709237,-80.18623948495552
17321,1610612748,1610612755,1,1,2003,2004-03-20,101.0,69.0,25.7808987709237,-80.18623948495552
17312,1610612748,1610612764,0,1,2003,2004-03-21,81.0,101.0,38.8980001758342,-77.0211572478214
17295,1610612748,1610612753,0,1,2003,2004-03-24,90.0,105.0,28.539371922106323,-81.38441144428242
17275,1610612748,1610612742,1,1,2003,2004-03-26,119.0,118.0,25.7808987709237,-80.18623948495552
17259,1610612748,1610612754,0,0,2003,2004-03-28,87.0,80.0,39.76381215213423,-86.15605172410166
17255,1610612748,1610612741,1,1,2003,2004-03-29,105.0,96.0,25.7808987709237,-80.18623948495552
17240,1610612748,1610612737,0,1,2003,2004-03-31,97.0,100.0,33.75725092895011,-84.39619973311765
17223,1610612748,1610612765,0,0,2003,2004-04-02,92.0,84.0,42.34072161638615,-83.0549240159282
17218,1610612748,1610612741,0,1,2003,2004-04-03,83.0,97.0,41.881968536545465,-87.6728455633052
17192,1610612748,1610612738,1,1,2003,2004-04-07,104.0,101.0,25.7808987709237,-80.18623948495552
17179,1610612748,1610612739,1,1,2003,2004-04-09,106.0,91.0,25.7808987709237,-80.18623948495552
17168,1610612748,1610612739,0,0,2003,2004-04-10,91.0,80.0,41.49641849438575,-81.68857242321435
17153,1610612748,1610612738,0,1,2003,2004-04-12,77.0,84.0,42.36610686544133,-71.06264504509178
17136,1610612748,1610612751,1,1,2003,2004-04-14,96.0,84.0,25.7808987709237,-80.18623948495552
17125,1610612748,1610612740,1,1,2003,2004-04-18,81.0,79.0,25.7808987709237,-80.18623948495552
17116,1610612748,1610612740,1,1,2003,2004-04-21,93.0,63.0,25.7808987709237,-80.18623948495552
17107,1610612748,1610612740,0,0,2003,2004-04-24,77.0,71.0,29.950485009327856,-90.08072646871527
17099,1610612748,1610612740,0,0,2003,2004-04-27,96.0,85.0,29.950485009327856,-90.08072646871527
17094,1610612748,1610612740,1,1,2003,2004-04-30,87.0,83.0,25.7808987709237,-80.18623948495552
17092,1610612748,1610612740,0,0,2003,2004-05-02,89.0,83.0,29.950485009327856,-90.08072646871527
17089,1610612748,1610612740,1,1,2003,2004-05-04,85.0,77.0,25.7808987709237,-80.18623948495552
17087,1610612748,1610612754,0,0,2003,2004-05-06,94.0,81.0,39.76381215213423,-86.15605172410166
17084,1610612748,1610612754,0,0,2003,2004-05-08,91.0,80.0,39.76381215213423,-86.15605172410166
17080,1610612748,1610612754,1,1,2003,2004-05-10,94.0,87.0,25.7808987709237,-80.18623948495552
17076,1610612748,1610612754,1,1,2003,2004-05-12,100.0,88.0,25.7808987709237,-80.18623948495552
17071,1610612748,1610612754,0,0,2003,2004-05-15,94.0,83.0,39.76381215213423,-86.15605172410166
17068,1610612748,1610612754,1,0,2003,2004-05-18,70.0,73.0,25.7808987709237,-80.18623948495552
